                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3723,                 3.2565,                 2.8158,                0.66622,                0.59664,                0.65926,                0.45423,                 2.2611,                 2.4434,                 2.7133,               0.008317,               0.008317,               0.008317
                     36,                 2.3433,                 3.2172,                 2.8098,                 0.6788,                0.59487,                0.66543,                0.45977,                 2.2432,                 2.4223,                 2.6952,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.3509,                 3.2056,                 2.8098,                0.69777,                0.59736,                0.66973,                0.46326,                 2.2285,                 2.4011,                 2.6833,               0.008218,               0.008218,               0.008218
                     38,                 2.3319,                 3.1735,                 2.7952,                0.69335,                0.60575,                  0.673,                0.46432,                 2.2273,                 2.3735,                 2.6837,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.3265,                 3.1435,                  2.778,                0.70368,                0.61164,                0.68381,                 0.4738,                 2.2097,                 2.3556,                 2.6668,               0.008119,               0.008119,               0.008119
                     40,                  2.312,                 3.1219,                 2.7784,                0.70477,                0.61246,                0.68326,                0.47746,                 2.1988,                 2.3298,                 2.6556,              0.0080695,              0.0080695,              0.0080695
                     41,                  2.301,                  3.082,                 2.7577,                0.71781,                0.61454,                0.69168,                0.48432,                 2.1837,                 2.3143,                 2.6432,                0.00802,                0.00802,                0.00802
                     42,                  2.305,                 3.0757,                 2.7664,                0.71569,                0.62282,                0.69734,                0.48894,                 2.1811,                 2.2919,                 2.6375,              0.0079705,              0.0079705,              0.0079705
                     43,                 2.2932,                 3.0455,                 2.7545,                0.72297,                0.62412,                0.70158,                0.49256,                 2.1705,                 2.2809,                 2.6292,               0.007921,               0.007921,               0.007921
                     44,                 2.2787,                  3.022,                 2.7515,                0.71026,                0.63751,                0.70332,                0.49597,                  2.164,                 2.2536,                 2.6252,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.2725,                 3.0156,                  2.737,                0.72525,                0.62387,                0.70613,                0.49925,                 2.1555,                 2.2464,                 2.6161,               0.007822,               0.007822,               0.007822
                     46,                 2.2706,                 3.0066,                 2.7387,                0.71522,                0.63194,                0.70767,                0.49971,                 2.1528,                 2.2334,                 2.6129,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.2669,                 2.9537,                 2.7348,                0.72596,                0.63357,                0.71003,                0.50277,                 2.1479,                 2.2176,                 2.6092,               0.007723,               0.007723,               0.007723
                     48,                 2.2529,                 2.9474,                 2.7232,                0.72986,                0.63366,                0.71412,                0.50662,                 2.1388,                 2.2033,                 2.6008,              0.0076735,              0.0076735,              0.0076735
