                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.383,                 3.4796,                 2.9418,                0.64869,                0.56401,                0.62256,                0.42609,                 2.2577,                  2.575,                 2.8358,               0.008317,               0.008317,               0.008317
                     36,                 2.3631,                 3.4369,                 2.9375,                0.66146,                0.56576,                 0.6277,                0.43028,                 2.2491,                 2.5553,                 2.8302,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.3643,                 3.4259,                 2.9356,                0.67311,                 0.5745,                0.63494,                0.43629,                  2.233,                 2.5387,                 2.8179,               0.008218,               0.008218,               0.008218
                     38,                   2.35,                 3.3885,                 2.9275,                0.67649,                0.57457,                0.63913,                0.43999,                 2.2273,                  2.512,                 2.8155,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.3528,                 3.3697,                 2.9171,                0.66093,                0.58225,                0.64519,                0.44504,                 2.2207,                 2.4861,                 2.8018,               0.008119,               0.008119,               0.008119
                     40,                 2.3288,                 3.3611,                 2.9091,                 0.6747,                0.57804,                0.64971,                0.44847,                 2.2132,                 2.4701,                  2.795,              0.0080695,              0.0080695,              0.0080695
                     41,                  2.331,                 3.3324,                 2.8975,                0.67822,                0.57673,                0.65037,                0.45172,                 2.1963,                 2.4655,                 2.7836,                0.00802,                0.00802,                0.00802
                     42,                 2.3359,                 3.3277,                 2.9056,                0.67058,                0.58536,                0.65559,                0.45704,                 2.1899,                 2.4384,                 2.7749,              0.0079705,              0.0079705,              0.0079705
                     43,                 2.3178,                 3.2915,                 2.8918,                0.68492,                0.58888,                0.66277,                0.46174,                  2.182,                 2.4121,                 2.7685,               0.007921,               0.007921,               0.007921
                     44,                 2.3158,                 3.2797,                 2.8902,                0.68227,                 0.5891,                0.66619,                0.46543,                 2.1771,                 2.3952,                 2.7668,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.3146,                 3.2703,                 2.8817,                0.68826,                0.59036,                0.66906,                0.46776,                 2.1654,                 2.3941,                 2.7531,               0.007822,               0.007822,               0.007822
                     46,                   2.31,                  3.258,                 2.8793,                 0.7064,                0.58544,                0.67174,                0.47176,                 2.1583,                 2.3768,                 2.7433,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.3009,                 3.2242,                 2.8716,                0.69073,                0.60014,                 0.6746,                0.47452,                 2.1544,                 2.3564,                 2.7368,               0.007723,               0.007723,               0.007723
                     48,                 2.2917,                 3.2119,                 2.8651,                0.69289,                  0.599,                0.67745,                0.47652,                  2.145,                 2.3433,                 2.7291,              0.0076735,              0.0076735,              0.0076735
                     49,                  2.286,                 3.2012,                 2.8613,                0.69642,                0.60164,                0.67934,                0.47938,                 2.1394,                 2.3315,                 2.7266,               0.007624,               0.007624,               0.007624
                     50,                 2.2787,                 3.1872,                 2.8485,                0.69512,                0.60603,                0.68219,                0.48192,                 2.1282,                 2.3228,                 2.7143,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.2726,                 3.1795,                 2.8452,                0.69892,                0.60262,                0.68376,                0.48385,                 2.1233,                 2.3151,                 2.7098,               0.007525,               0.007525,               0.007525
                     52,                 2.2769,                 3.1506,                 2.8463,                0.68962,                0.61024,                0.68617,                0.48596,                 2.1215,                 2.3058,                 2.7069,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.2611,                 3.1452,                 2.8366,                0.69627,                0.61411,                 0.6902,                0.48946,                 2.1151,                  2.293,                  2.701,               0.007426,               0.007426,               0.007426
                     54,                 2.2591,                 3.1229,                  2.846,                0.69949,                0.61546,                0.69265,                0.49244,                   2.11,                 2.2857,                 2.6971,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.2499,                 3.0992,                 2.8265,                  0.688,                0.62615,                0.69389,                0.49404,                 2.1078,                 2.2757,                 2.6961,               0.007327,               0.007327,               0.007327
                     56,                 2.2426,                 3.0898,                 2.8196,                0.69403,                0.62991,                 0.6962,                0.49598,                 2.1046,                 2.2661,                 2.6936,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.2519,                 3.0947,                 2.8211,                0.69919,                0.62529,                0.69796,                0.49851,                  2.102,                 2.2593,                 2.6894,               0.007228,               0.007228,               0.007228
                     58,                 2.2468,                 3.0804,                 2.8191,                0.71675,                0.61502,                0.70018,                0.49975,                 2.1007,                 2.2491,                 2.6873,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.2473,                 3.0653,                  2.818,                0.71611,                0.61845,                0.70058,                 0.5004,                 2.1017,                 2.2374,                 2.6868,               0.007129,               0.007129,               0.007129
                     60,                 2.2367,                  3.055,                 2.8079,                0.72141,                 0.6192,                0.70313,                0.50122,                 2.0994,                 2.2299,                 2.6836,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.2368,                 3.0466,                 2.8072,                0.72395,                0.62158,                0.70432,                0.50224,                  2.095,                 2.2238,                 2.6792,                0.00703,                0.00703,                0.00703
                     62,                 2.2136,                 3.0143,                 2.7956,                0.72244,                0.62412,                0.70595,                 0.5038,                 2.0907,                 2.2183,                 2.6754,              0.0069805,              0.0069805,              0.0069805
                     63,                 2.2354,                 3.0271,                 2.8034,                0.73047,                0.62188,                0.70699,                0.50556,                 2.0864,                 2.2113,                 2.6722,               0.006931,               0.006931,               0.006931
                     64,                 2.2175,                  2.994,                 2.7936,                0.72967,                0.62182,                0.70791,                0.50633,                 2.0843,                 2.2049,                 2.6708,              0.0068815,              0.0068815,              0.0068815
                     65,                 2.1984,                 2.9632,                 2.7799,                0.73358,                0.62019,                0.70901,                0.50743,                 2.0812,                 2.1994,                 2.6682,               0.006832,               0.006832,               0.006832
                     66,                 2.2056,                  2.982,                 2.7857,                0.73073,                0.62351,                 0.7104,                0.50854,                 2.0778,                 2.1963,                 2.6637,              0.0067825,              0.0067825,              0.0067825
                     67,                 2.1967,                 2.9503,                 2.7831,                0.73703,                0.61993,                0.71134,                0.50973,                 2.0767,                 2.1897,                 2.6625,               0.006733,               0.006733,               0.006733
                     68,                 2.2064,                 2.9538,                 2.7885,                0.73462,                0.62304,                0.71251,                0.51116,                 2.0763,                 2.1839,                 2.6615,              0.0066835,              0.0066835,              0.0066835
                     69,                 2.1889,                  2.947,                 2.7737,                 0.7391,                0.61921,                0.71303,                0.51206,                 2.0745,                 2.1799,                 2.6587,               0.006634,               0.006634,               0.006634
                     70,                 2.1895,                 2.9367,                 2.7764,                0.72512,                0.63273,                0.71485,                0.51353,                  2.073,                 2.1749,                 2.6577,              0.0065845,              0.0065845,              0.0065845
                     71,                 2.1854,                 2.9434,                  2.766,                0.73492,                0.62593,                0.71524,                0.51436,                 2.0725,                 2.1694,                 2.6569,               0.006535,               0.006535,               0.006535
                     72,                 2.1803,                 2.9102,                 2.7622,                0.72537,                0.63447,                0.71563,                  0.515,                 2.0708,                  2.166,                 2.6555,              0.0064855,              0.0064855,              0.0064855
                     73,                 2.1795,                 2.9061,                 2.7642,                0.73709,                0.62683,                0.71696,                0.51599,                 2.0686,                 2.1627,                 2.6532,               0.006436,               0.006436,               0.006436
                     74,                 2.1808,                 2.8939,                 2.7636,                0.73366,                0.63154,                0.71712,                0.51683,                 2.0665,                 2.1612,                 2.6511,              0.0063865,              0.0063865,              0.0063865
                     75,                 2.1731,                 2.8845,                 2.7551,                0.73432,                0.63368,                0.71799,                0.51738,                 2.0653,                 2.1554,                 2.6498,               0.006337,               0.006337,               0.006337
                     76,                 2.1726,                 2.8529,                 2.7483,                0.73278,                0.63703,                0.71891,                0.51813,                  2.064,                 2.1506,                 2.6487,              0.0062875,              0.0062875,              0.0062875
                     77,                 2.1715,                 2.8705,                 2.7507,                0.73521,                0.63732,                0.71995,                0.51901,                 2.0624,                 2.1473,                 2.6465,               0.006238,               0.006238,               0.006238
                     78,                 2.1674,                 2.8538,                 2.7485,                0.72579,                0.64641,                0.72067,                0.51945,                 2.0602,                 2.1447,                 2.6443,              0.0061885,              0.0061885,              0.0061885
                     79,                 2.1591,                 2.8344,                 2.7436,                0.73003,                 0.6439,                 0.7215,                0.52064,                 2.0584,                 2.1413,                  2.643,               0.006139,               0.006139,               0.006139
                     80,                 2.1524,                 2.8295,                 2.7351,                0.73254,                0.64329,                0.72187,                  0.521,                 2.0562,                  2.138,                 2.6412,              0.0060895,              0.0060895,              0.0060895
                     81,                 2.1513,                 2.8222,                 2.7348,                0.72999,                0.64508,                0.72312,                 0.5218,                  2.055,                 2.1339,                 2.6394,                0.00604,                0.00604,                0.00604
                     82,                  2.156,                 2.8387,                 2.7447,                0.72977,                0.64582,                0.72357,                0.52247,                 2.0538,                 2.1306,                 2.6383,              0.0059905,              0.0059905,              0.0059905
                     83,                 2.1552,                 2.8116,                 2.7394,                 0.7302,                0.64669,                0.72371,                0.52254,                  2.053,                 2.1261,                 2.6378,               0.005941,               0.005941,               0.005941
                     84,                 2.1486,                  2.801,                 2.7296,                0.73014,                0.64734,                0.72462,                0.52316,                 2.0524,                 2.1214,                 2.6366,              0.0058915,              0.0058915,              0.0058915
                     85,                  2.145,                 2.7953,                 2.7287,                0.72528,                0.65346,                0.72551,                0.52413,                 2.0509,                 2.1171,                 2.6349,               0.005842,               0.005842,               0.005842
                     86,                 2.1308,                  2.783,                 2.7219,                0.72537,                0.65251,                0.72617,                0.52505,                  2.049,                  2.113,                 2.6327,              0.0057925,              0.0057925,              0.0057925
                     87,                 2.1382,                  2.792,                 2.7282,                0.72558,                 0.6527,                0.72656,                0.52531,                 2.0479,                 2.1099,                 2.6313,               0.005743,               0.005743,               0.005743
                     88,                 2.1304,                  2.796,                 2.7247,                0.72864,                0.65054,                0.72709,                0.52583,                  2.047,                  2.106,                 2.6306,              0.0056935,              0.0056935,              0.0056935
                     89,                 2.1271,                 2.7745,                 2.7146,                0.72747,                0.65077,                0.72789,                0.52671,                 2.0458,                 2.1031,                 2.6286,               0.005644,               0.005644,               0.005644
                     90,                  2.133,                 2.7437,                 2.7155,                0.72812,                0.64924,                0.72808,                0.52712,                 2.0451,                 2.1005,                 2.6276,              0.0055945,              0.0055945,              0.0055945
                     91,                 2.1113,                  2.742,                  2.712,                 0.7228,                0.65338,                 0.7281,                0.52741,                 2.0439,                 2.0963,                 2.6258,               0.005545,               0.005545,               0.005545
                     92,                 2.1217,                  2.736,                 2.7057,                0.72524,                0.65025,                0.72846,                0.52803,                 2.0421,                  2.093,                 2.6238,              0.0054955,              0.0054955,              0.0054955
                     93,                 2.1147,                 2.7197,                  2.702,                0.71728,                0.66118,                0.72922,                0.52852,                 2.0417,                 2.0903,                 2.6235,               0.005446,               0.005446,               0.005446
                     94,                 2.1144,                 2.7334,                  2.704,                0.72062,                0.65737,                0.72985,                0.52923,                   2.04,                 2.0868,                 2.6221,              0.0053965,              0.0053965,              0.0053965
                     95,                 2.1072,                  2.703,                 2.7025,                0.72923,                0.65117,                0.73088,                0.53017,                 2.0385,                 2.0836,                 2.6206,               0.005347,               0.005347,               0.005347
                     96,                 2.1089,                 2.7129,                  2.698,                0.72618,                0.65543,                0.73122,                0.53064,                 2.0377,                 2.0802,                 2.6199,              0.0052975,              0.0052975,              0.0052975
                     97,                 2.0943,                 2.6862,                 2.6919,                0.72765,                0.65565,                0.73191,                0.53152,                 2.0356,                 2.0775,                 2.6187,               0.005248,               0.005248,               0.005248
                     98,                 2.1036,                 2.6948,                 2.6932,                0.72638,                0.65832,                0.73266,                0.53222,                 2.0345,                 2.0743,                 2.6171,              0.0051985,              0.0051985,              0.0051985
                     99,                 2.0982,                 2.6867,                 2.6888,                0.73267,                0.65532,                0.73309,                 0.5327,                 2.0332,                 2.0715,                 2.6157,               0.005149,               0.005149,               0.005149
                    100,                 2.0929,                 2.6576,                 2.6863,                0.73468,                0.65399,                  0.733,                0.53293,                 2.0315,                 2.0702,                 2.6134,              0.0050995,              0.0050995,              0.0050995
                    101,                 2.0774,                 2.6529,                 2.6745,                0.73847,                0.65489,                0.73348,                0.53354,                 2.0302,                 2.0665,                 2.6119,                0.00505,                0.00505,                0.00505
                    102,                 2.0839,                 2.6513,                  2.681,                 0.7395,                0.65437,                 0.7344,                  0.534,                 2.0287,                 2.0641,                 2.6103,              0.0050005,              0.0050005,              0.0050005
                    103,                 2.0876,                 2.6525,                 2.6834,                0.73756,                0.65648,                 0.7343,                0.53474,                 2.0278,                 2.0603,                  2.609,               0.004951,               0.004951,               0.004951
                    104,                 2.0784,                 2.6246,                 2.6795,                0.73968,                0.65669,                0.73516,                0.53532,                 2.0267,                 2.0565,                 2.6079,              0.0049015,              0.0049015,              0.0049015
                    105,                 2.0792,                 2.6182,                 2.6702,                   0.74,                0.65619,                0.73534,                0.53573,                 2.0254,                 2.0528,                  2.607,               0.004852,               0.004852,               0.004852
                    106,                 2.0712,                 2.6222,                 2.6677,                0.74066,                0.65672,                0.73606,                0.53675,                 2.0242,                 2.0492,                 2.6058,              0.0048025,              0.0048025,              0.0048025
                    107,                 2.0737,                 2.6199,                 2.6685,                0.74256,                0.65694,                0.73685,                0.53776,                 2.0231,                 2.0465,                 2.6048,               0.004753,               0.004753,               0.004753
                    108,                 2.0734,                 2.6118,                 2.6708,                0.74102,                0.65921,                0.73709,                0.53817,                 2.0221,                 2.0437,                 2.6037,              0.0047035,              0.0047035,              0.0047035
                    109,                 2.0703,                 2.5855,                 2.6678,                 0.7388,                0.65899,                0.73692,                 0.5385,                 2.0209,                 2.0417,                 2.6027,               0.004654,               0.004654,               0.004654
                    110,                 2.0649,                 2.5739,                 2.6662,                0.73889,                0.66041,                0.73795,                0.53935,                 2.0195,                 2.0385,                 2.6017,              0.0046045,              0.0046045,              0.0046045
                    111,                 2.0697,                 2.5966,                 2.6633,                0.73987,                0.66155,                0.73839,                0.53973,                  2.019,                 2.0352,                 2.6003,               0.004555,               0.004555,               0.004555
                    112,                 2.0532,                 2.5673,                 2.6563,                0.74385,                0.66101,                0.73917,                0.54074,                 2.0178,                 2.0322,                 2.5992,              0.0045055,              0.0045055,              0.0045055
                    113,                 2.0546,                 2.5682,                 2.6548,                0.74952,                0.65619,                0.73966,                0.54125,                 2.0169,                 2.0282,                 2.5983,               0.004456,               0.004456,               0.004456
                    114,                  2.047,                 2.5678,                 2.6563,                0.74992,                0.65584,                0.74013,                0.54172,                 2.0162,                 2.0252,                 2.5976,              0.0044065,              0.0044065,              0.0044065
                    115,                 2.0585,                 2.5557,                  2.659,                0.75132,                0.65601,                0.74055,                0.54219,                 2.0158,                  2.021,                 2.5966,               0.004357,               0.004357,               0.004357
                    116,                 2.0532,                  2.556,                 2.6548,                0.75169,                0.65737,                0.74102,                0.54264,                  2.015,                 2.0188,                 2.5954,              0.0043075,              0.0043075,              0.0043075
                    117,                 2.0338,                 2.5313,                  2.639,                0.75014,                0.65745,                0.74123,                0.54311,                 2.0139,                 2.0171,                 2.5948,               0.004258,               0.004258,               0.004258
                    118,                 2.0448,                  2.545,                 2.6446,                0.75438,                0.65624,                0.74119,                0.54338,                 2.0123,                 2.0157,                  2.593,              0.0042085,              0.0042085,              0.0042085
                    119,                  2.034,                 2.5219,                 2.6438,                  0.754,                0.65734,                0.74169,                0.54407,                 2.0111,                 2.0135,                 2.5921,               0.004159,               0.004159,               0.004159
                    120,                 2.0277,                 2.5105,                 2.6353,                0.75975,                0.65496,                0.74191,                0.54454,                 2.0103,                 2.0115,                 2.5917,              0.0041095,              0.0041095,              0.0041095
                    121,                 2.0316,                 2.5115,                 2.6354,                0.75762,                 0.6564,                 0.7421,                0.54486,                 2.0093,                 2.0106,                 2.5902,                0.00406,                0.00406,                0.00406
                    122,                 2.0299,                 2.5022,                 2.6413,                0.75765,                0.65644,                0.74252,                0.54526,                 2.0084,                  2.009,                 2.5897,              0.0040105,              0.0040105,              0.0040105
                    123,                 2.0276,                 2.5316,                  2.641,                0.76048,                0.65639,                0.74308,                0.54583,                 2.0088,                 2.0052,                 2.5896,               0.003961,               0.003961,               0.003961
                    124,                 2.0194,                 2.4814,                 2.6202,                0.75544,                0.65974,                0.74372,                 0.5465,                  2.008,                 2.0033,                 2.5882,              0.0039115,              0.0039115,              0.0039115
                    125,                 2.0107,                 2.4818,                 2.6296,                0.76353,                0.65397,                0.74431,                0.54674,                  2.007,                 2.0017,                 2.5865,               0.003862,               0.003862,               0.003862
                    126,                 2.0181,                 2.4858,                 2.6322,                 0.7496,                 0.6633,                0.74473,                0.54691,                 2.0067,                 1.9988,                 2.5851,              0.0038125,              0.0038125,              0.0038125
                    127,                 2.0193,                  2.465,                 2.6213,                0.74765,                0.66562,                0.74511,                0.54761,                 2.0062,                  1.996,                 2.5844,               0.003763,               0.003763,               0.003763
                    128,                 2.0118,                  2.439,                 2.6181,                0.75549,                0.66115,                0.74636,                0.54901,                 2.0053,                 1.9939,                 2.5832,              0.0037135,              0.0037135,              0.0037135
                    129,                 2.0074,                 2.4755,                 2.6205,                0.75438,                0.66321,                0.74632,                0.54955,                 2.0049,                 1.9918,                 2.5821,               0.003664,               0.003664,               0.003664
                    130,                 2.0128,                 2.4511,                 2.6181,                0.75787,                 0.6644,                0.74796,                0.55036,                 2.0043,                 1.9888,                  2.581,              0.0036145,              0.0036145,              0.0036145
                    131,                 2.0005,                 2.4369,                 2.6126,                0.75971,                0.66195,                0.74882,                0.55128,                  2.004,                 1.9851,                 2.5802,               0.003565,               0.003565,               0.003565
                    132,                 1.9995,                 2.4313,                 2.6131,                0.75835,                0.66293,                0.74893,                0.55179,                 2.0027,                 1.9838,                 2.5783,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.9961,                 2.4257,                 2.6046,                 0.7593,                0.66197,                 0.7495,                0.55239,                 2.0011,                 1.9825,                 2.5765,               0.003466,               0.003466,               0.003466
                    134,                 1.9971,                 2.4074,                   2.61,                 0.7551,                0.66555,                0.74974,                0.55256,                 2.0009,                 1.9794,                 2.5761,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.9865,                 2.4035,                 2.6027,                0.75723,                0.66514,                0.75018,                0.55318,                 1.9991,                 1.9782,                 2.5744,               0.003367,               0.003367,               0.003367
                    136,                   1.99,                 2.3868,                 2.6023,                0.76426,                0.66075,                0.75035,                0.55347,                 1.9974,                 1.9767,                 2.5727,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.9832,                 2.3908,                 2.5989,                0.76569,                0.66118,                0.75111,                0.55403,                  1.997,                 1.9729,                 2.5722,               0.003268,               0.003268,               0.003268
                    138,                 1.9715,                 2.3832,                 2.5918,                0.75697,                0.66813,                0.75158,                0.55463,                  1.997,                 1.9697,                 2.5719,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.9785,                 2.3748,                 2.5907,                0.75506,                0.67031,                0.75232,                0.55538,                 1.9965,                 1.9682,                 2.5712,               0.003169,               0.003169,               0.003169
                    140,                  1.967,                 2.3626,                  2.584,                0.75718,                0.66813,                0.75228,                0.55572,                  1.996,                 1.9664,                   2.57,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.9544,                 2.3676,                 2.5791,                0.75313,                0.67359,                0.75297,                0.55641,                 1.9948,                 1.9665,                 2.5682,                0.00307,                0.00307,                0.00307
