                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4369,                 3.4902,                 2.9645,                0.65275,                0.56997,                0.63061,                 0.4278,                 2.3242,                 2.5719,                 2.8783,               0.008317,               0.008317,               0.008317
                     36,                 2.4186,                 3.4576,                 2.9714,                0.64695,                0.57986,                0.63408,                 0.4298,                 2.3024,                 2.5492,                 2.8696,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.4247,                 3.4462,                 2.9655,                0.66144,                0.58553,                0.64287,                0.43752,                 2.2983,                 2.5278,                 2.8535,               0.008218,               0.008218,               0.008218
                     38,                  2.408,                 3.4237,                 2.9535,                 0.6663,                0.57857,                0.64377,                0.43956,                 2.2915,                 2.5033,                 2.8455,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.4008,                 3.3973,                 2.9427,                0.65799,                0.59052,                0.65109,                 0.4454,                 2.2803,                 2.4748,                  2.835,               0.008119,               0.008119,               0.008119
                     40,                 2.3955,                 3.3928,                 2.9492,                0.66925,                0.58758,                 0.6534,                0.44823,                  2.266,                 2.4624,                 2.8283,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.3877,                  3.363,                 2.9274,                  0.673,                0.59126,                0.65552,                0.44768,                  2.273,                 2.4491,                 2.8323,                0.00802,                0.00802,                0.00802
                     42,                 2.3883,                 3.3626,                 2.9323,                0.66805,                0.59212,                0.65737,                0.45025,                 2.2579,                 2.4456,                 2.8196,              0.0079705,              0.0079705,              0.0079705
                     43,                 2.3804,                 3.3284,                 2.9259,                 0.6749,                0.60052,                0.66293,                0.45483,                 2.2504,                 2.4285,                   2.81,               0.007921,               0.007921,               0.007921
                     44,                 2.3714,                  3.316,                 2.9193,                0.67254,                0.60486,                0.66605,                0.46023,                 2.2409,                 2.4019,                 2.8042,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.3737,                 3.3135,                 2.9191,                0.67409,                0.61084,                 0.6697,                 0.4629,                 2.2367,                 2.3916,                 2.7967,               0.007822,               0.007822,               0.007822
                     46,                 2.3733,                 3.3016,                 2.9151,                0.68393,                0.61168,                0.67267,                 0.4652,                 2.2307,                 2.3836,                  2.792,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.3608,                 3.2607,                 2.9025,                0.70434,                0.60184,                0.67676,                0.46851,                 2.2288,                 2.3655,                  2.786,               0.007723,               0.007723,               0.007723
                     48,                 2.3514,                 3.2556,                 2.8974,                0.71127,                 0.6019,                 0.6797,                0.47125,                 2.2237,                 2.3533,                 2.7821,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.3473,                 3.2425,                  2.897,                0.70744,                0.60548,                0.68298,                0.47394,                 2.2169,                 2.3414,                 2.7793,               0.007624,               0.007624,               0.007624
                     50,                 2.3465,                 3.2361,                 2.8823,                0.70301,                0.61584,                0.68739,                0.47623,                  2.215,                 2.3298,                 2.7734,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.3353,                 3.2101,                 2.8734,                0.71237,                0.61134,                0.68823,                0.47933,                 2.2127,                 2.3169,                  2.766,               0.007525,               0.007525,               0.007525
                     52,                 2.3345,                 3.1946,                 2.8775,                0.70774,                0.61561,                0.69093,                0.48169,                 2.2049,                 2.3146,                 2.7594,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.3188,                 3.1916,                 2.8715,                0.70959,                0.61341,                 0.6921,                0.48406,                 2.2003,                 2.3056,                 2.7569,               0.007426,               0.007426,               0.007426
                     54,                 2.3195,                 3.1681,                 2.8718,                0.74278,                0.59073,                0.69275,                0.48595,                 2.1955,                 2.2977,                 2.7521,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.3091,                 3.1451,                 2.8565,                0.72179,                0.60783,                0.69342,                0.48672,                 2.1914,                 2.2873,                 2.7468,               0.007327,               0.007327,               0.007327
                     56,                 2.2994,                 3.1334,                 2.8491,                0.72735,                0.60502,                0.69479,                0.48889,                 2.1865,                 2.2802,                 2.7412,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.3037,                 3.1342,                 2.8438,                0.71996,                0.61064,                0.69667,                0.49015,                 2.1821,                 2.2723,                 2.7355,               0.007228,               0.007228,               0.007228
                     58,                 2.3022,                 3.1151,                 2.8471,                 0.7097,                0.62574,                 0.6976,                0.49207,                 2.1757,                 2.2671,                 2.7292,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.3049,                 3.1009,                 2.8428,                0.70246,                 0.6312,                0.69916,                0.49391,                 2.1708,                 2.2628,                 2.7261,               0.007129,               0.007129,               0.007129
                     60,                 2.3001,                 3.0975,                 2.8431,                0.71905,                0.61998,                0.70152,                0.49649,                  2.166,                 2.2555,                 2.7207,              0.0070795,              0.0070795,              0.0070795
                     61,                  2.297,                 3.0906,                  2.838,                0.72764,                0.61817,                0.70303,                0.49717,                 2.1616,                 2.2498,                 2.7163,                0.00703,                0.00703,                0.00703
                     62,                 2.2866,                  3.068,                 2.8374,                 0.7292,                0.61792,                0.70415,                0.49866,                  2.159,                 2.2422,                 2.7134,              0.0069805,              0.0069805,              0.0069805
                     63,                 2.3001,                 3.0777,                 2.8373,                0.72655,                0.61925,                 0.7048,                0.50004,                 2.1573,                 2.2339,                 2.7125,               0.006931,               0.006931,               0.006931
                     64,                 2.2791,                 3.0465,                 2.8229,                0.72313,                0.62186,                0.70592,                0.50136,                  2.154,                 2.2285,                 2.7086,              0.0068815,              0.0068815,              0.0068815
                     65,                 2.2578,                 3.0217,                 2.8133,                0.73619,                0.61721,                0.70744,                0.50275,                 2.1507,                 2.2235,                 2.7059,               0.006832,               0.006832,               0.006832
