                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1065,                 1.4976,                 1.4287,                0.70067,                0.64236,                0.70203,                0.49765,                 1.0433,                 1.1084,                 1.3581,               0.008317,               0.008317,               0.008317
                     36,                 1.0929,                 1.4727,                 1.4257,                0.71657,                0.63955,                0.70599,                0.50435,                 1.0343,                 1.0972,                  1.349,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0947,                 1.4687,                  1.424,                 0.7291,                0.63641,                0.71134,                0.50931,                 1.0233,                 1.0869,                 1.3388,               0.008218,               0.008218,               0.008218
                     38,                 1.0825,                 1.4514,                 1.4116,                0.72896,                0.63941,                0.71508,                0.51339,                 1.0203,                 1.0745,                 1.3327,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0776,                   1.43,                 1.4055,                0.71929,                0.65491,                0.72074,                0.51965,                 1.0125,                 1.0604,                 1.3275,               0.008119,               0.008119,               0.008119
                     40,                 1.0716,                 1.4245,                 1.4052,                0.72242,                0.65856,                0.72188,                0.52148,                 1.0064,                 1.0453,                 1.3226,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0638,                 1.4042,                 1.3924,                0.73734,                0.64931,                0.72608,                0.52511,                 1.0045,                 1.0421,                 1.3195,                0.00802,                0.00802,                0.00802
                     42,                 1.0672,                 1.4017,                 1.3994,                0.74101,                0.65547,                0.73186,                0.53046,                0.99893,                 1.0323,                 1.3156,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0555,                 1.3796,                  1.386,                0.74233,                0.65955,                0.73619,                0.53425,                0.99869,                 1.0246,                 1.3115,               0.007921,               0.007921,               0.007921
                     44,                 1.0508,                 1.3755,                 1.3856,                0.74177,                 0.6655,                0.73926,                0.53772,                0.99356,                 1.0193,                  1.309,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0505,                 1.3659,                 1.3843,                0.73713,                0.66874,                0.74338,                0.54008,                0.99043,                   1.01,                 1.3065,               0.007822,               0.007822,               0.007822
                     46,                 1.0455,                 1.3558,                 1.3792,                0.74325,                0.67309,                 0.7453,                 0.5426,                0.98528,                 1.0034,                 1.3008,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0433,                 1.3312,                  1.376,                0.74534,                0.67454,                0.74764,                0.54525,                0.98268,                0.99455,                 1.2977,               0.007723,               0.007723,               0.007723
                     48,                  1.038,                 1.3313,                 1.3726,                 0.7465,                0.68216,                0.75145,                0.54937,                0.98031,                0.98442,                 1.2959,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0348,                 1.3219,                 1.3701,                0.75148,                0.67763,                0.75265,                0.55149,                0.97591,                0.97939,                 1.2917,               0.007624,               0.007624,               0.007624
                     50,                 1.0292,                 1.3119,                 1.3638,                0.76266,                0.67433,                0.75353,                0.55329,                0.97193,                0.97491,                 1.2891,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0225,                  1.296,                 1.3594,                 0.7611,                0.68065,                 0.7544,                0.55498,                0.96884,                0.96973,                 1.2868,               0.007525,               0.007525,               0.007525
                     52,                 1.0235,                 1.2908,                  1.359,                0.76085,                 0.6825,                0.75676,                0.55736,                0.96671,                0.96362,                 1.2842,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0125,                 1.2832,                 1.3505,                0.75375,                0.69128,                0.75918,                0.55967,                0.96502,                0.96136,                  1.282,               0.007426,               0.007426,               0.007426
                     54,                 1.0138,                 1.2719,                 1.3555,                0.74709,                0.69711,                0.76119,                0.56173,                 0.9644,                0.95654,                 1.2812,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0086,                 1.2503,                 1.3457,                0.75646,                0.69764,                0.76319,                0.56326,                0.96229,                0.95091,                 1.2793,               0.007327,               0.007327,               0.007327
                     56,                 1.0048,                 1.2493,                 1.3421,                0.75457,                 0.7015,                0.76531,                0.56463,                0.96004,                0.94659,                 1.2771,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0025,                 1.2427,                 1.3413,                0.75605,                0.69952,                0.76621,                 0.5661,                0.95766,                0.94345,                 1.2744,               0.007228,               0.007228,               0.007228
                     58,                0.99944,                 1.2368,                 1.3392,                0.76094,                0.69956,                0.76772,                0.56782,                0.95638,                0.93896,                 1.2734,              0.0071785,              0.0071785,              0.0071785
                     59,                0.99925,                 1.2277,                 1.3371,                0.76527,                 0.6993,                0.76902,                0.56884,                0.95532,                 0.9355,                 1.2722,               0.007129,               0.007129,               0.007129
                     60,                0.99259,                 1.2181,                 1.3335,                0.76215,                0.70228,                0.77026,                0.56988,                 0.9541,                0.93171,                 1.2709,              0.0070795,              0.0070795,              0.0070795
                     61,                0.99339,                 1.2157,                  1.332,                0.75911,                0.70655,                0.77231,                0.57123,                0.95269,                0.92814,                 1.2692,                0.00703,                0.00703,                0.00703
                     62,                0.98452,                 1.1983,                 1.3275,                0.76274,                0.70599,                0.77311,                0.57235,                0.95145,                 0.9246,                 1.2679,              0.0069805,              0.0069805,              0.0069805
                     63,                0.98823,                 1.2015,                 1.3261,                 0.7687,                0.70138,                0.77415,                0.57328,                0.94978,                0.92155,                  1.266,               0.006931,               0.006931,               0.006931
                     64,                0.97999,                 1.1854,                 1.3218,                0.76692,                0.70638,                0.77496,                0.57412,                0.94826,                0.91919,                 1.2645,              0.0068815,              0.0068815,              0.0068815
                     65,                0.97223,                 1.1763,                 1.3162,                0.76937,                0.70749,                0.77616,                0.57563,                0.94703,                0.91606,                 1.2632,               0.006832,               0.006832,               0.006832
                     66,                0.97187,                 1.1736,                 1.3157,                0.77123,                0.70752,                0.77707,                0.57652,                0.94566,                0.91299,                 1.2618,              0.0067825,              0.0067825,              0.0067825
                     67,                0.96809,                 1.1662,                 1.3144,                0.76871,                0.71055,                0.77795,                0.57779,                0.94397,                0.91068,                 1.2605,               0.006733,               0.006733,               0.006733
                     68,                0.97046,                 1.1567,                 1.3117,                0.76908,                0.71099,                0.77894,                0.57927,                0.94241,                0.90752,                 1.2592,              0.0066835,              0.0066835,              0.0066835
                     69,                0.96066,                 1.1526,                 1.3054,                 0.7703,                0.71192,                0.78036,                0.58007,                0.94135,                 0.9045,                 1.2583,               0.006634,               0.006634,               0.006634
