                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1365,                 1.5803,                 1.4588,                0.70942,                0.61011,                0.68597,                0.48321,                 1.0703,                 1.1706,                 1.3845,               0.008317,               0.008317,               0.008317
                     36,                 1.1253,                 1.5531,                  1.458,                0.70637,                0.62175,                0.69211,                0.48727,                 1.0663,                 1.1645,                 1.3814,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1266,                 1.5506,                 1.4556,                 0.7069,                0.63281,                 0.6977,                0.49328,                 1.0546,                 1.1508,                 1.3703,               0.008218,               0.008218,               0.008218
                     38,                 1.1201,                 1.5394,                 1.4499,                0.72863,                0.61311,                0.69806,                0.49677,                 1.0528,                 1.1362,                 1.3673,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1151,                  1.521,                 1.4422,                0.71656,                0.62979,                0.69987,                0.49844,                 1.0482,                 1.1304,                 1.3617,               0.008119,               0.008119,               0.008119
                     40,                 1.1086,                 1.5122,                 1.4419,                 0.7201,                0.62863,                0.70337,                0.50135,                 1.0446,                 1.1241,                 1.3578,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1032,                 1.5026,                 1.4304,                0.72553,                 0.6309,                0.70811,                0.50542,                 1.0402,                 1.1132,                 1.3534,                0.00802,                0.00802,                0.00802
                     42,                 1.1081,                  1.501,                 1.4365,                0.72282,                0.64138,                0.71096,                0.50793,                 1.0381,                  1.102,                 1.3493,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1002,                 1.4844,                 1.4301,                 0.7321,                0.63248,                 0.7153,                0.51179,                 1.0348,                 1.0965,                 1.3471,               0.007921,               0.007921,               0.007921
                     44,                 1.0928,                 1.4737,                 1.4248,                0.72389,                0.64737,                0.71721,                0.51387,                 1.0307,                 1.0903,                 1.3446,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0935,                 1.4711,                 1.4228,                0.72425,                0.65061,                0.71872,                0.51617,                 1.0276,                 1.0842,                 1.3406,               0.007822,               0.007822,               0.007822
                     46,                 1.0921,                  1.466,                  1.421,                0.72823,                0.65324,                0.72055,                0.51856,                 1.0234,                 1.0792,                 1.3355,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0865,                 1.4445,                 1.4142,                0.72839,                0.64928,                 0.7225,                 0.5202,                 1.0216,                 1.0713,                 1.3326,               0.007723,               0.007723,               0.007723
                     48,                  1.083,                 1.4507,                 1.4141,                0.73555,                0.64579,                0.72498,                0.52325,                 1.0182,                 1.0637,                 1.3295,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0775,                 1.4401,                 1.4088,                0.74026,                0.64668,                0.72651,                0.52562,                 1.0145,                 1.0592,                 1.3263,               0.007624,               0.007624,               0.007624
                     50,                 1.0756,                 1.4322,                 1.4053,                0.74475,                0.64775,                0.72876,                0.52911,                 1.0114,                 1.0522,                 1.3235,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0707,                 1.4224,                 1.4025,                0.74576,                0.64592,                0.72994,                0.53149,                 1.0072,                 1.0469,                 1.3194,               0.007525,               0.007525,               0.007525
                     52,                 1.0737,                 1.4155,                 1.4029,                0.74743,                0.64903,                0.73291,                0.53345,                 1.0051,                  1.042,                 1.3169,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0634,                 1.4099,                 1.3954,                0.73995,                0.65677,                0.73429,                 0.5356,                 1.0027,                 1.0385,                 1.3136,               0.007426,               0.007426,               0.007426
                     54,                 1.0628,                 1.3986,                 1.3953,                0.74693,                0.65399,                0.73685,                0.53775,                 1.0007,                 1.0341,                 1.3118,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0568,                 1.3815,                 1.3868,                0.74973,                 0.6548,                0.73825,                0.53976,                0.99783,                 1.0302,                 1.3096,               0.007327,               0.007327,               0.007327
                     56,                 1.0534,                 1.3819,                 1.3859,                0.75469,                0.65337,                0.73999,                0.54135,                0.99689,                 1.0265,                  1.309,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0541,                 1.3804,                 1.3851,                0.75942,                0.65278,                0.74099,                0.54234,                0.99561,                 1.0221,                 1.3078,               0.007228,               0.007228,               0.007228
                     58,                 1.0523,                 1.3696,                 1.3823,                0.76383,                0.65568,                 0.7434,                0.54398,                0.99452,                 1.0183,                 1.3062,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0541,                  1.363,                 1.3845,                0.74877,                0.66334,                0.74439,                0.54444,                0.99315,                  1.015,                 1.3045,               0.007129,               0.007129,               0.007129
                     60,                 1.0493,                 1.3587,                 1.3796,                0.74877,                0.66583,                0.74521,                0.54585,                0.99145,                 1.0121,                 1.3024,              0.0070795,              0.0070795,              0.0070795
